iter	Passed	Remaining
1086	140498	118008
1087	140612	117866
1088	140728	117726
1089	140836	117579
1090	140961	117446
1091	141070	117300
1092	141199	117171
1093	141295	117014
1094	141450	116906
1095	141589	116785
1096	141723	116660
1097	141849	116528
1098	141994	116412
1099	142106	116269
1100	142268	116166
1101	142376	116020
1102	142524	115906
1103	142655	115778
1104	142762	115630
1105	142908	115515
1106	143019	115371
1107	143120	115219
1108	143230	115075
1109	143359	114945
1110	143484	114813
1111	143614	114684
1112	143737	114550
1113	143854	114412
1114	143967	114269
1115	144080	114128
1116	144188	113982
1117	144327	113860
1118	144478	113749
1119	144605	113618
1120	144719	113478
1121	144846	113346
1122	144969	113212
1123	145121	113101
1124	145262	112981
1125	145375	112839
1126	145518	112722
1127	145660	112602
1128	145797	112479
1129	145921	112346
1130	146019	112193
1131	146117	112040
1132	146268	111928
1133	146386	111791
1134	146513	111659
1135	146645	111532
1136	146774	111404
1137	146907	111277
1138	147032	111145
1139	147174	111026
1140	147318	110908
1141	147437	110771
1142	147559	110637
1143	147715	110528
1144	147826	110385
1145	147961	110260
1146	148067	110114
1147	148195	109984
1148	148353	109877
1149	148483	109748
1150	148604	109613
1151	148749	109496
1152	148856	109350
1153	148967	109208
1154	149109	109089
1155	149212	108940
1156	149350	108818
1157	149480	108689
1158	149606	108558
1159	149722	108419
1160	149843	108284
1161	149986	108166
1162	150136	108052
1163	150240	107904
1164	150348	107760
1165	150485	107637
1166	150624	107515
1167	150767	107396
1168	150878	107254
1169	151016	107131
1170	151142	106999
1171	151275	106873
1172	151424	106759
1173	151538	106619
1174	151709	106519
1175	151836	106388
1176	151969	106262
1177	152110	106141
1178	152245	106016
1179	152359	105876
1180	152493	105751
1181	152607	105611
1182	152728	105476
1183	152846	105340
1184	153021	105242
1185	153142	105107
1186	153280	104984
1187	153425	104866
1188	153533	104722
1189	153646	104583
1190	153765	104446
1191	153884	104310
1192	154013	104181
1193	154154	104061
1194	154299	103942
1195	154449	103827
1196	154576	103696
1197	154688	103555
1198	154835	103439
1199	154964	103309
1200	155110	103191
1201	155221	103050
1202	155336	102912
1203	155492	102800
1204	155590	102650
1205	155724	102525
1206	155842	102388
1207	155973	102260
1208	156094	102126
1209	156229	102001
1210	156359	101872
1211	156468	101730
1212	156578	101589
1213	156716	101465
1214	156852	101340
1215	156966	101202
1216	157105	101079
1217	157236	100951
1218	157345	100809
1219	157493	100692
1220	157627	100566
1221	157761	100440
1222	157859	100292
1223	158020	100183
1224	158119	100034
1225	158224	99890
1226	158361	99766
1227	158533	99664
1228	158634	99517
1229	158747	99378
1230	158901	99265
1231	159061	99155
1232	159179	99018
1233	159314	98893
1234	159431	98757
1235	159541	98616
1236	159659	98480
1237	159790	98352
1238	159903	98213
1239	160045	98092
1240	160147	97947
1241	160278	97819
1242	160391	97680
1243	160549	97568
1244	160666	97432
1245	160809	97311
1246	160939	97183
1247	161043	97039
1248	161202	96928
1249	161297	96778
1250	161411	96640
1251	161523	96501
1252	161655	96373
1253	161802	96255
1254	161931	96126
1255	162030	95979
1256	162150	95845
1257	162270	95711
1258	162395	95579
1259	162512	95443
1260	162649	95319
1261	162756	95177
1262	162883	95047
1263	163001	94912
1264	163160	94801
1265	163285	94669
1266	163399	94531
1267	163528	94402
1268	163656	94273
1269	163771	94136
1270	163921	94019
1271	164070	93901
1272	164203	93775
1273	164325	93642
1274	164474	93524
1275	164589	93387
1276	164731	93265
1277	164839	93125
1278	164982	93004
1279	165108	92873
1280	165221	92735
1281	165330	92595
1282	165422	92445
1283	165523	92301
1284	165647	92169
1285	165749	92025
1286	165894	91905
1287	166041	91786
1288	166146	91644
1289	166255	91505
1290	166364	91365
1291	166512	91246
1292	166649	91122
1293	166763	90985
1294	166881	90850
1295	166999	90715
1296	167127	90586
1297	167245	90451
1298	167348	90309
1299	167457	90169
1300	167586	90040
1301	167722	89916
1302	167856	89789
1303	167976	89656
1304	168106	89528
1305	168212	89386
1306	168348	89262
1307	168459	89123
1308	168581	88991
1309	168732	88874
1310	168862	88746
1311	168998	88621
1312	169134	88496
1313	169241	88355
1314	169356	88220
1315	169488	88092
1316	169594	87951
1317	169693	87807
1318	169839	87688
1319	169950	87550
