iter	MultiClass_SumError	MultiClass_SumWeight
411	1037558.16	1042606.638
412	1037553.801	1042606.638
413	1037624.414	1042606.638
414	1037543.673	1042606.638
415	1037737.11	1042606.638
416	1037797.738	1042606.638
417	1037692.782	1042606.638
418	1037601.16	1042606.638
419	1037415.897	1042606.638
420	1037362.655	1042606.638
421	1037402.192	1042606.638
422	1037318.371	1042606.638
423	1037164.169	1042606.638
424	1037435.728	1042606.638
425	1037364.622	1042606.638
426	1037240.334	1042606.638
427	1037278.773	1042606.638
428	1037340.284	1042606.638
429	1037201.28	1042606.638
430	1037185.225	1042606.638
431	1037158.467	1042606.638
432	1037572.648	1042606.638
433	1037773.259	1042606.638
434	1037746.086	1042606.638
435	1037779.802	1042606.638
436	1037909.928	1042606.638
437	1038195.867	1042606.638
438	1038327.306	1042606.638
439	1038329.63	1042606.638
440	1038282.217	1042606.638
441	1038207.699	1042606.638
442	1038200.675	1042606.638
443	1038181.49	1042606.638
444	1038121.794	1042606.638
445	1038233.861	1042606.638
446	1038142.38	1042606.638
447	1038060.502	1042606.638
448	1037974.46	1042606.638
449	1038134.022	1042606.638
450	1038126.123	1042606.638
451	1038135.078	1042606.638
452	1038058.729	1042606.638
453	1038121.214	1042606.638
454	1038094.186	1042606.638
455	1038122.528	1042606.638
456	1038095.345	1042606.638
457	1037926.238	1042606.638
458	1037845.503	1042606.638
459	1037898.961	1042606.638
460	1037809.317	1042606.638
461	1037850.949	1042606.638
462	1037854.325	1042606.638
463	1037988.153	1042606.638
464	1038158.675	1042606.638
465	1038168.06	1042606.638
466	1038193.817	1042606.638
467	1038354.054	1042606.638
468	1038414.32	1042606.638
469	1038287.699	1042606.638
470	1038610.961	1042606.638
471	1038636.623	1042606.638
472	1038593.383	1042606.638
473	1038645.779	1042606.638
474	1038955.955	1042606.638
475	1038966.419	1042606.638
476	1039203.355	1042606.638
477	1039479.216	1042606.638
478	1039920.34	1042606.638
479	1039986.548	1042606.638
480	1040006.729	1042606.638
481	1039886.793	1042606.638
482	1039900.743	1042606.638
483	1039903.392	1042606.638
484	1040025.907	1042606.638
485	1040656.091	1042606.638
486	1040304.711	1042606.638
487	1040379.309	1042606.638
488	1040521.824	1042606.638
489	1040512.574	1042606.638
490	1040641.618	1042606.638
491	1040847.729	1042606.638
492	1040989.982	1042606.638
493	1041054.568	1042606.638
494	1040432.016	1042606.638
495	1040514.675	1042606.638
496	1040580.968	1042606.638
497	1040669.31	1042606.638
498	1040687.745	1042606.638
499	1040688.842	1042606.638
500	1040742.362	1042606.638
501	1040794.997	1042606.638
502	1040783.175	1042606.638
503	1040727.668	1042606.638
504	1040701.609	1042606.638
505	1040865.395	1042606.638
506	1041094.272	1042606.638
507	1041281.113	1042606.638
508	1041415.301	1042606.638
509	1041093.055	1042606.638
510	1041196.558	1042606.638
511	1041230.029	1042606.638
512	1041274.889	1042606.638
513	1041260.265	1042606.638
514	1041273.821	1042606.638
515	1041339.447	1042606.638
516	1041284.904	1042606.638
517	1041311.801	1042606.638
518	1041416.517	1042606.638
519	1041511.846	1042606.638
520	1041351.384	1042606.638
521	1041470.712	1042606.638
522	1041649.223	1042606.638
523	1041693.416	1042606.638
524	1041776.11	1042606.638
525	1041807.813	1042606.638
526	1041919.685	1042606.638
527	1041931.887	1042606.638
528	1042010.449	1042606.638
529	1042095.13	1042606.638
530	1042198.691	1042606.638
531	1042069.042	1042606.638
532	1042427.096	1042606.638
533	1042380.005	1042606.638
534	1042401.075	1042606.638
535	1042429.934	1042606.638
536	1042465.342	1042606.638
537	1042536.92	1042606.638
538	1042507.016	1042606.638
539	1042518.631	1042606.638
540	1042623.446	1042606.638
541	1042688.322	1042606.638
542	1042548.197	1042606.638
543	1042604.316	1042606.638
544	1042559.928	1042606.638
545	1042648.516	1042606.638
546	1042687.791	1042606.638
547	1042680.794	1042606.638
548	1042866.11	1042606.638
549	1043053.965	1042606.638
550	1043078.873	1042606.638
551	1043207.369	1042606.638
552	1043312.981	1042606.638
553	1043370.757	1042606.638
554	1043498.045	1042606.638
555	1043584.5	1042606.638
556	1043617.293	1042606.638
557	1043544.335	1042606.638
558	1043521.377	1042606.638
559	1043466.126	1042606.638
560	1043402.77	1042606.638
561	1043508.798	1042606.638
562	1043311.167	1042606.638
563	1043323.186	1042606.638
564	1043381.155	1042606.638
565	1043457.639	1042606.638
566	1043353.205	1042606.638
567	1043330.156	1042606.638
568	1043516.293	1042606.638
569	1043439.731	1042606.638
570	1043483.303	1042606.638
571	1043434.937	1042606.638
572	1043567.575	1042606.638
573	1043601.772	1042606.638
574	1043527.748	1042606.638
575	1043589.86	1042606.638
576	1043539.485	1042606.638
577	1043528.535	1042606.638
578	1043540.482	1042606.638
579	1043458.423	1042606.638
580	1043519.751	1042606.638
581	1043387.704	1042606.638
582	1043484.699	1042606.638
583	1043837.011	1042606.638
584	1043794.046	1042606.638
585	1043673.453	1042606.638
586	1043681.805	1042606.638
587	1043669.442	1042606.638
588	1043578.127	1042606.638
589	1044333.292	1042606.638
590	1044401.029	1042606.638
591	1044528.181	1042606.638
592	1044247.623	1042606.638
593	1044359.791	1042606.638
594	1044381.183	1042606.638
595	1044303.858	1042606.638
596	1044563.2	1042606.638
597	1044637.265	1042606.638
598	1044936.894	1042606.638
599	1045108.108	1042606.638
600	1045339.925	1042606.638
601	1045365.836	1042606.638
602	1045287.68	1042606.638
603	1045126.841	1042606.638
604	1045165.594	1042606.638
605	1045216.464	1042606.638
606	1045356.142	1042606.638
607	1045372.616	1042606.638
608	1045332.512	1042606.638
609	1045211.317	1042606.638
610	1045190.919	1042606.638
611	1045122.4	1042606.638
612	1045180.701	1042606.638
613	1045430.067	1042606.638
614	1045504.541	1042606.638
615	1045477.813	1042606.638
616	1045492.725	1042606.638
617	1045338.043	1042606.638
618	1045384.92	1042606.638
619	1045353.213	1042606.638
620	1045557.011	1042606.638
621	1045504.161	1042606.638
622	1045571.598	1042606.638
623	1045639.522	1042606.638
624	1045659.703	1042606.638
625	1045709.739	1042606.638
626	1045771.92	1042606.638
627	1045782.573	1042606.638
628	1045838.432	1042606.638
629	1045873.919	1042606.638
630	1045937.439	1042606.638
631	1045943.649	1042606.638
632	1045882.225	1042606.638
633	1045949.274	1042606.638
634	1045967.608	1042606.638
635	1045949.03	1042606.638
636	1046060.339	1042606.638
637	1046046.263	1042606.638
638	1046080.946	1042606.638
639	1046276.189	1042606.638
640	1046321.309	1042606.638
641	1046363.326	1042606.638
642	1046417.482	1042606.638
643	1046569.163	1042606.638
644	1046597.261	1042606.638
645	1046753.507	1042606.638
646	1046917.189	1042606.638
647	1046978.247	1042606.638
648	1047008.017	1042606.638
649	1047113.282	1042606.638
650	1047354.846	1042606.638
651	1047797.452	1042606.638
652	1047766.208	1042606.638
653	1048002.191	1042606.638
654	1048269.123	1042606.638
655	1048270.491	1042606.638
656	1048463.236	1042606.638
657	1048341.947	1042606.638
658	1048532.973	1042606.638
659	1048508.722	1042606.638
660	1048573.773	1042606.638
661	1048587.259	1042606.638
662	1048548.431	1042606.638
663	1048454.737	1042606.638
664	1048467.456	1042606.638
665	1048615.024	1042606.638
666	1048645.959	1042606.638
667	1048833.999	1042606.638
668	1048845.807	1042606.638
669	1048544.218	1042606.638
670	1048637.369	1042606.638
671	1048598.927	1042606.638
672	1048685.985	1042606.638
673	1048277.234	1042606.638
674	1048556.952	1042606.638
675	1048698.394	1042606.638
676	1048690.047	1042606.638
677	1048839.397	1042606.638
678	1048837.059	1042606.638
679	1049116.072	1042606.638
680	1049189.532	1042606.638
681	1049291.296	1042606.638
682	1049301.725	1042606.638
683	1049537.879	1042606.638
684	1049543.443	1042606.638
685	1049667.446	1042606.638
686	1049780.05	1042606.638
687	1049797.461	1042606.638
688	1049946.832	1042606.638
689	1050216.565	1042606.638
690	1050106.358	1042606.638
691	1050069.105	1042606.638
692	1050266.101	1042606.638
693	1050271.864	1042606.638
694	1050160.278	1042606.638
695	1050186.45	1042606.638
696	1050067.304	1042606.638
697	1050020.402	1042606.638
698	1050086.082	1042606.638
699	1050212.429	1042606.638
700	1050258.549	1042606.638
701	1050301.863	1042606.638
702	1049942.269	1042606.638
703	1049886.622	1042606.638
704	1049798.62	1042606.638
705	1049881.535	1042606.638
706	1049804.221	1042606.638
707	1049823.437	1042606.638
708	1049870.853	1042606.638
709	1049885.29	1042606.638
710	1049774.259	1042606.638
711	1049767.558	1042606.638
712	1049736.091	1042606.638
713	1049690.362	1042606.638
714	1049523.988	1042606.638
715	1049612.452	1042606.638
716	1049636.402	1042606.638
717	1049673.447	1042606.638
718	1049663.982	1042606.638
719	1049788.751	1042606.638
720	1049909.557	1042606.638
721	1049976.912	1042606.638
722	1050027.333	1042606.638
723	1050093.139	1042606.638
724	1050043.487	1042606.638
725	1049762.659	1042606.638
726	1050015.445	1042606.638
727	1049864.485	1042606.638
728	1049653.882	1042606.638
729	1049491.66	1042606.638
730	1049526.239	1042606.638
731	1049542.672	1042606.638
732	1048978.079	1042606.638
733	1049046.181	1042606.638
734	1049037.156	1042606.638
735	1049077.582	1042606.638
736	1049072.948	1042606.638
737	1049105.312	1042606.638
738	1049069.14	1042606.638
739	1049302.708	1042606.638
740	1049439.587	1042606.638
741	1049405.05	1042606.638
742	1049473.57	1042606.638
743	1049467.573	1042606.638
744	1049433.329	1042606.638
745	1049484.686	1042606.638
746	1049455.371	1042606.638
747	1049516.035	1042606.638
748	1049582.796	1042606.638
749	1049668.54	1042606.638
750	1049522.604	1042606.638
751	1049399.935	1042606.638
752	1049469.35	1042606.638
753	1049391.846	1042606.638
754	1049524.021	1042606.638
755	1049530.097	1042606.638
756	1049465.757	1042606.638
757	1049752.285	1042606.638
758	1049670.259	1042606.638
759	1049849.14	1042606.638
760	1049887.822	1042606.638
761	1050079.192	1042606.638
762	1050148.786	1042606.638
763	1050213.097	1042606.638
764	1050189.705	1042606.638
765	1050153.44	1042606.638
766	1050173.16	1042606.638
767	1050201.841	1042606.638
768	1050326.53	1042606.638
769	1050372.38	1042606.638
770	1050406.763	1042606.638
771	1050430.92	1042606.638
772	1050491.397	1042606.638
773	1050536.182	1042606.638
774	1050671.128	1042606.638
775	1050709.397	1042606.638
776	1050564.606	1042606.638
777	1050527.432	1042606.638
778	1050597.528	1042606.638
779	1050590.006	1042606.638
780	1050662.65	1042606.638
781	1050697.949	1042606.638
782	1050789.171	1042606.638
783	1050877.082	1042606.638
784	1050918.723	1042606.638
785	1050875.947	1042606.638
786	1050914.234	1042606.638
787	1051018.983	1042606.638
788	1050969.164	1042606.638
789	1050949.534	1042606.638
790	1050774.678	1042606.638
791	1050748.494	1042606.638
792	1050820.935	1042606.638
793	1050861.661	1042606.638
794	1050893.383	1042606.638
795	1051071.564	1042606.638
796	1051221.658	1042606.638
797	1051331.448	1042606.638
798	1051555.566	1042606.638
